"Hand #","Date","Stake","My C Won","Final Hand","Hole Cards","Flop","Winner","Position","PF Act","F Act","T Act","R Act","Showdown","Bet PF","Bet F","Bet T","Bet R","Flop Donk","Flop Float","Turn Donk","Turn Float","Turn Probe","River Donk","River Float","River Probe","Flop Call","Turn Call","River Call","Hole Cards Text","Flop Text","Turn Text","River Text"
"19354344481","2019/12/20  7:05 pm","€0.04 NL (6 max)","-€0.12","One Pair, Queens","12120000","131409","AbsolutRaise","MP","R","X","X","X","true","€0.12","€0.00","€0.00","€0.00","","","","","","","","","","","","Qd Qh  ","Ks Ac 9c","6d","10c"
"19354343020","2019/12/20  7:05 pm","€0.04 NL (6 max)","€0.36","(did not show hand)","14130000","100406","Radames06","BTN","R","B","B","","false","€0.16","€0.18","€0.35","€0.00","","","","","","","","","","","","Ac Kc  ","10s 4c 6h","As",""
"19354342016","2019/12/20  7:04 pm","€0.04 NL (6 max)","-€0.32","One Pair, Nines","9050000","40910","regza44","BB","X","B","B","B","true","€0.04","€0.04","€0.08","€0.16","","","","","","","","","","","","9c 5c  ","4d 9d 10h","2h","3s"
"19354337141","2019/12/20  7:03 pm","€0.04 NL (6 max)","-€0.36","One Pair, Nines","14100000","90309","boulimike","BTN","R","B","X","X","true","€0.16","€0.20","€0.00","€0.00","","","","","","","","","","","","As 10d  ","9s 3s 9h","Jd","Kd"
"19354336693","2019/12/20  7:03 pm","€0.04 NL (6 max)","-€0.08","(folded turn)","14080000","90704","Mysticriver77","BB","C","X","XF","","false","€0.08","€0.00","€0.00","€0.00","false","","","","false","","","","","false","","Ac 8s  ","9d 7h 4h","2h",""
"19354327520","2019/12/20  7:01 pm","€0.04 NL (6 max)","€0.38","One Pair, Aces","14100000","50602","Radames06","BB","C","X","X","X","true","€0.20","€0.00","€0.00","€0.00","false","","","","false","","","","","","","As 10d  ","5h 6s 2d","4s","Ah"
"19354326109","2019/12/20  7:00 pm","€0.04 NL (6 max)","-€0.04","(folded flop)","6030000","60710","Mysticriver77","BB","X","XF","","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","false","","","6c 3s  ","6h 7s 10s","",""
"19354325058","2019/12/20  7:00 pm","€0.04 NL (6 max)","-€4.55","Full House, Jacks full of Aces","11100000","141411","regdiculous","SB","R","B","B","BR","true","€0.12","€0.11","€0.28","€6.52","","","","","","","","","","","false","Jd 10h  ","Ah Ac Js","Jc","5c"
"19354320790","2019/12/20  6:58 pm","€0.04 NL (6 max)","€0.50","Two Pair, Aces and Twos","14120000","20210","Radames06","BTN","R","C","C","R","true","€0.12","€0.04","€0.04","€0.35","","","","","","","","","true","true","false","Ac Qh  ","2s 2c 10c","As","Kc"
"19354320074","2019/12/20  6:58 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","6060000","51205","solidGame","BTN","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","6h 6s  ","5d Qd 5s","",""
"19354319392","2019/12/20  6:58 pm","€0.04 NL (6 max)","€3.14","One Pair, Jacks","14110000","121006","Radames06","BB","R","C","","","true","€0.30","€3.32","€0.00","€0.00","","","","","","","","","true","","","Ac Jd  ","Qd 10s 6c","Jc","5d"
"19354317649","2019/12/20  6:57 pm","€0.04 NL (6 max)","-€0.83","High Card, Ace","14130000","70203","regza44","BB","R","B","B","X","true","€0.16","€0.21","€0.46","€0.00","","","","","","","","","","","","Ac Kh  ","7h 2d 3d","Qs","9h"
"19354313168","2019/12/20  6:56 pm","€0.04 NL (6 max)","€0.15","(did not show hand)","12110000","100809","Radames06","CO","R","B","","","false","€0.12","€0.13","€0.00","€0.00","","","","","","","","","","","","Qs Jc  ","10s 8d 9h","",""
